Products Collection ID,Product ID,Variants Collection ID,Variant ID,Product Handle,Product Name,Product Type,Product Description,Product Categories,Main Variant Image,More Variant Images,Variant Price,Variant Compare-at Price,Product Tax Class,Variant Sku,Variant Inventory,Requires Shipping,Variant Weight,Variant Width,Variant Height,Variant Length,Variant Download Name,Variant Download URL,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Created On,Updated On,Published On
6118134cf9bf6905ddf5066b,64daf6428dd02f394b9e682f,6118134cf9bf6929dcf5066c,64daf6426d4203c5c2f29827,5th-grade-graduation,5th Grade Graduation,Physical,"Some seemingly small moments are worth celebrating big! This iconic and playful sign package features a bold and colorful display of school iconography. It makes the perfect photo op. Make that special day even more amazing by telling the whole neighborhood about it. Celebrate a rite of passage, order now!",School Events,https://cdn.prod.website-files.com/6118134cf9bf692b7cf50669/64daf63d0d0e402b8fdb9d6d_5TH-GRADE-GRADUATION-(medium).png,,$149.00,,standard-taxable,,,true,,,,,,,5th Grade Graduation,Large 5th Grade Graduation School Events,,,,,Tue Aug 15 2023 03:51:30 GMT+0000 (Coordinated Universal Time),Tue Aug 15 2023 03:58:41 GMT+0000 (Coordinated Universal Time),Tue Aug 15 2023 03:58:48 GMT+0000 (Coordinated Universal Time)
6118134cf9bf6905ddf5066b,63063d1379fadc120cb03227,6118134cf9bf6929dcf5066c,63063d1426f4bb0709af4b9b,aged-to-perfection,Aged to Perfection,Physical,"Know a seasoned connoisseur? Someone who appreciates the finer things in life? This yard sign tribute is sure to brighten up their special occasion; Birthdays, Graduations, retirement, or anniversary, you name it. Celebrate spirits, order now!",Birthday,https://cdn.prod.website-files.com/6118134cf9bf692b7cf50669/63063cfb4cecd3b101f79093_BOURBON_-(mini)-Birthday.png,,$75.00,,standard-taxable,,,true,,,,,,,Aged to Perfection,Mini Aged to Perfection Birthday,,,,,Wed Aug 24 2022 15:00:35 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 04:03:33 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 04:04:44 GMT+0000 (Coordinated Universal Time)
6118134cf9bf6905ddf5066b,64daf54219c92a97ddd06b63,6118134cf9bf6929dcf5066c,64daf5438dd02f394b9ccafc,back-to-school,Back To School,Physical,"Back to school! A delightful way to excite students about the beginning of a new year. So get on the bus and celebrate learning, order now!",School Events,https://cdn.prod.website-files.com/6118134cf9bf692b7cf50669/64daf53f8dd02f394b9cc160_BACK-TO-SCHOOL.png,,$99.00,,standard-taxable,,,true,,,,,,,Back to School,Medium Back to School School Events,,,,,Tue Aug 15 2023 03:47:14 GMT+0000 (Coordinated Universal Time),Wed Aug 16 2023 02:18:58 GMT+0000 (Coordinated Universal Time),Wed Aug 16 2023 02:19:38 GMT+0000 (Coordinated Universal Time)
6118134cf9bf6905ddf5066b,6266057176dd5b66e5343ef5,6118134cf9bf6929dcf5066c,6266057230a5c2a87eef1ef2,baptism,Baptism,Physical,"This elegant set of themed yard signs features eloquent religious icons that capture the spirit of such a huge milestone! Simple but bold, this themed set commemorates the Christian sacrament of baptism. Celebrate milestones, order now!",Milestones;Baptism,https://cdn.prod.website-files.com/6118134cf9bf692b7cf50669/626605fb56a98be526e6f66a_BAPTISM_(medium).png,,$99.00,,standard-taxable,,,true,224,,,,,,Baptism,Medium Baptism Milestone,,,,,Mon Apr 25 2022 02:20:33 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 04:02:19 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 04:04:44 GMT+0000 (Coordinated Universal Time)
6118134cf9bf6905ddf5066b,6266057176dd5b66e5343ef5,6118134cf9bf6929dcf5066c,6266057230a5c23c13ef1ef3,baptism,Baptism,Physical,"This elegant set of themed yard signs features eloquent religious icons that capture the spirit of such a huge milestone! Simple but bold, this themed set commemorates the Christian sacrament of baptism. Celebrate milestones, order now!",Milestones;Baptism,https://cdn.prod.website-files.com/6118134cf9bf692b7cf50669/62660603732d387a442f25dc_BAPTISM_(mini).png,,$75.00,,standard-taxable,,,true,224,,,,,,Baptism,Mini Baptism Milestone,,,,,Mon Apr 25 2022 02:20:33 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 04:02:19 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 04:04:44 GMT+0000 (Coordinated Universal Time)
6118134cf9bf6905ddf5066b,613193b2726645765a1a0fcb,6118134cf9bf6929dcf5066c,61da923a3fa4cb87936455dc,blooming-sunflower,Blooming Sunflower,Physical,"Simply Stunning! This spectacular themed yard sign package features an arrangement of big and bold sunflower varieties in bloom complete with pollinators. Know someone who’s ready to bloom? Celebrate blossoming, order now!",Birthday;Blooming Sunflower,https://cdn.prod.website-files.com/6118134cf9bf692b7cf50669/61e0eb2aed778e604ff18fcd_BLOOMING%20SUNFLOWER_(mini)%201st%20birthday.png,,$75.00,,standard-taxable,,,true,,,,,,,Blooming Sunflower,Mini Blooming Sunflower First Birthday,,,,,Fri Sep 03 2021 03:17:06 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 03:31:40 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 04:04:44 GMT+0000 (Coordinated Universal Time)
6118134cf9bf6905ddf5066b,613193b2726645765a1a0fcb,6118134cf9bf6929dcf5066c,61da923a6daf3ed2d88bc38b,blooming-sunflower,Blooming Sunflower,Physical,"Simply Stunning! This spectacular themed yard sign package features an arrangement of big and bold sunflower varieties in bloom complete with pollinators. Know someone who’s ready to bloom? Celebrate blossoming, order now!",Birthday;Blooming Sunflower,https://cdn.prod.website-files.com/6118134cf9bf692b7cf50669/61fe906941c1b8a95f7c2de7_BLOOMING-SUNFLOWER_(medium)-1st-birthday.png,,$99.00,,standard-taxable,,,true,,,,,,,Blooming Sunflower,Medium Blooming Sunflower First Birthday,,,,,Fri Sep 03 2021 03:17:06 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 03:31:40 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 04:04:44 GMT+0000 (Coordinated Universal Time)
6118134cf9bf6905ddf5066b,613193b2726645765a1a0fcb,6118134cf9bf6929dcf5066c,613193b2bed4764583b845a8,blooming-sunflower,Blooming Sunflower,Physical,"Simply Stunning! This spectacular themed yard sign package features an arrangement of big and bold sunflower varieties in bloom complete with pollinators. Know someone who’s ready to bloom? Celebrate blossoming, order now!",Birthday;Blooming Sunflower,https://cdn.prod.website-files.com/6118134cf9bf692b7cf50669/61fe90608c44d9769bfbabc2_BLOOMING-SUNFLOWER_(medium)-birthday.png,,$99.00,,standard-taxable,,,true,,,,,,,Blooming Sunflower,Medium Blooming Sunflower Birthday,,,,,Fri Sep 03 2021 03:17:06 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 03:31:40 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 04:04:44 GMT+0000 (Coordinated Universal Time)
6118134cf9bf6905ddf5066b,613193b2726645765a1a0fcb,6118134cf9bf6929dcf5066c,613193b2bed4763fe1b845a7,blooming-sunflower,Blooming Sunflower,Physical,"Simply Stunning! This spectacular themed yard sign package features an arrangement of big and bold sunflower varieties in bloom complete with pollinators. Know someone who’s ready to bloom? Celebrate blossoming, order now!",Birthday;Blooming Sunflower,https://cdn.prod.website-files.com/6118134cf9bf692b7cf50669/61e0eb2f4a1cecff78f0ac87_BLOOMING%20SUNFLOWER_(mini)%20birthday.png,,$75.00,,standard-taxable,,,true,,,,,,,Blooming Sunflower,Mini Blooming Sunflower Birthday,,,,,Fri Sep 03 2021 03:17:06 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 03:31:40 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 04:04:44 GMT+0000 (Coordinated Universal Time)
6118134cf9bf6905ddf5066b,61a464154e1fe121c8dcd09e,6118134cf9bf6929dcf5066c,61a4641541077d6d0097ddbf,blooming-sunflower-birth-announcement,Blooming Sunflower,Physical,"Simply Stunning! This spectacular themed yard sign package features an arrangement of big and bold sunflower varieties in bloom complete with pollinators. Know someone who’s ready to bloom? Celebrate blossoming, order now!",Blooming Sunflower;Birth Announcement,https://cdn.prod.website-files.com/6118134cf9bf692b7cf50669/61fe8e78a30e6e9206640e4c_BLOOMING-SUNFLOWER_(mini)-birth-annoucement.png,,$75.00,,standard-taxable,,,true,,,,,,,Blooming Sunflower,Mini Blooming Sunflower Birth Announcement,,,,,Mon Nov 29 2021 05:24:37 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 03:48:57 GMT+0000 (Coordinated Universal Time),Mon Aug 14 2023 04:04:44 GMT+0000 (Coordinated Universal Time)
